Name_Projektpartner;Institution
TÜV Süd Akademie GmbH;TÜV Süd Akademie GmbH
Überbetriebliches Bildungszentrum in Ostbayern GmbH (ÜBZO) ;Überbetriebliches Bildungszentrum in Ostbayern GmbH (ÜBZO) 
Universität Bremen ;Universität Bremen 
Universität Bremen, Sustainum - Institut für zukunftsfähige Wirtschaften;Universität Bremen, Sustainum - Institut für zukunftsfähige Wirtschaften
Universität der Bundeswehr München (UniBwMü);Universität der Bundeswehr München (UniBwMü)
Universita?t Duisburg-Essen;Universita?t Duisburg-Essen
Universita?t Flensburg ;Universita?t Flensburg 
Universität Hamburg;Universität Hamburg
Universität Hamburg;Universität Hamburg
Universität Kassel;Universität Kassel
Universität Koblenz-Landau;Universität Koblenz-Landau
Universität Osnabrück, Fachbereich Sozialwissenschaften ;Universität Osnabrück, Fachbereich Sozialwissenschaften 
Universität Paderborn ;Universität Paderborn 
Universität Stuttgart ;Universität Stuttgart 
Universität Vechta;Universität Vechta
Universitätsklinikum Münster (UKM) ;Universitätsklinikum Münster (UKM) 
Voith Industrial Services GmbH & Co. KG;Voith Industrial Services GmbH & Co. KG
Volksbank Freiburg eG;Volksbank Freiburg eG
Volkswagen Bildungsinstitut GmbH (VW-BI) ;Volkswagen Bildungsinstitut GmbH (VW-BI) 
WIDIA GmbH ;WIDIA GmbH 
WILO SE ;WILO SE 
zeb/rolfes,schierenbeck.associates gmbh (zeb/);zeb/rolfes,schierenbeck.associates gmbh (zeb/)
Zentrum für Mikrosystemtechnik Berlin;Zentrum für Mikrosystemtechnik Berlin
Zentrum für Sozialforschung Halle e.V.;Zentrum für Sozialforschung Halle e.V.
